Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1925,12,1.831,,1.172,-0.187,-0.184,-1.540,,,,2.713,,,3.600,9.630,-2.132,0
1926,1,2.013,,1.139,-0.239,-0.212,-1.558,,,,2.697,,,3.560,9.720,-2.315,0
1926,2,1.983,,1.248,-0.145,-0.141,-1.528,,,,2.777,,,3.540,9.710,-2.223,0
1926,3,1.800,,1.139,-0.239,-0.245,-1.626,,,,2.765,,,3.540,9.680,-2.223,0
1926,4,1.648,,1.178,-0.196,-0.199,-1.580,,,,2.758,,,3.510,9.670,-2.254,0
1926,5,1.709,,1.209,-0.154,-0.157,-1.522,,,,2.731,,,3.520,9.630,-2.040,0
1926,6,1.739,,1.239,-0.135,-0.148,-1.534,,,,2.774,,,3.590,9.690,-2.071,0
1926,7,1.739,,1.258,-0.123,-0.132,-1.525,,,,2.783,,,3.590,9.690,-2.162,0
1926,8,1.953,,1.279,-0.102,-0.120,-1.516,,,,2.795,,,3.540,9.660,-2.162,0
1926,9,1.861,,1.233,-0.129,-0.138,-1.510,,,,2.743,,,3.670,9.730,-2.162,0
1926,10,1.953,,1.239,-0.093,-0.099,-1.437,,,,2.676,,,3.710,9.750,-2.040,0
1926,11,1.953,,1.151,-0.184,-0.193,-1.534,,,,2.685,,,3.710,9.710,-2.101,0
1926,12,1.587,,1.187,-0.141,-0.157,-1.498,,,,2.685,,,3.710,9.780,-2.193,0
1927,1,1.892,,1.105,-0.218,-0.221,-1.547,,,,2.652,,,3.580,9.740,-2.071,0
1927,2,1.739,,1.215,-0.129,-0.132,-1.480,,,,2.694,,,3.550,9.640,-2.193,0
1927,3,1.983,,1.224,-0.157,-0.166,-1.556,,,,2.780,,,3.530,9.620,-2.223,0
1927,4,1.800,,1.255,-0.148,-0.148,-1.553,,,,2.807,,,3.580,9.630,-2.162,0
1927,5,1.922,,1.285,-0.114,-0.108,-1.501,,,,2.786,,,3.590,9.670,-2.101,0
1927,6,1.770,,1.288,-0.074,-0.077,-1.443,,,,2.731,,,3.600,9.710,-1.888,0
1927,7,1.648,,1.224,-0.132,-0.135,-1.498,,,,2.722,,,3.650,9.770,-1.888,0
1927,8,1.831,,1.255,-0.108,-0.105,-1.467,,,,2.722,,,3.680,9.760,-1.888,0
1927,9,1.861,,1.242,-0.138,-0.138,-1.519,,,,2.761,,,3.610,9.670,-1.979,0
1927,10,1.953,,1.264,-0.080,-0.087,-1.434,,,,2.697,,,3.590,9.640,-2.223,0
1927,11,1.922,,1.255,-0.090,-0.093,-1.443,,,,2.697,,,3.600,9.620,-2.223,0
1927,12,2.196,,1.273,-0.062,-0.062,-1.397,,,,2.670,,,3.540,9.630,-2.162,0
1928,1,1.678,,1.139,-0.193,-0.196,-1.531,,,,2.670,,,3.520,9.660,-2.284,0
1928,2,1.922,,1.160,-0.212,-0.218,-1.592,,,,2.752,,,3.490,9.560,-2.101,0
1928,3,1.800,,1.197,-0.163,-0.166,-1.528,,,,2.725,,,3.480,9.570,-2.010,0
1928,4,1.922,,1.160,-0.196,-0.193,-1.550,,,,2.710,,,3.540,9.620,-2.315,0
1928,5,1.983,,1.233,-0.123,-0.126,-1.486,,,,2.719,,,3.540,9.620,-2.101,0
1928,6,1.892,,1.248,-0.090,-0.093,-1.434,,,,2.682,,,3.570,9.640,-2.101,0
1928,7,1.800,,1.221,-0.111,-0.111,-1.443,,,,2.664,,,3.410,9.680,-1.979,0
1928,8,1.709,,1.251,-0.087,-0.087,-1.425,,,,2.676,,,3.360,9.680,-1.827,0
1928,9,1.678,,1.255,-0.080,-0.084,-1.419,,,,2.673,,,3.530,9.630,-1.827,0
1928,10,1.739,,1.200,-0.129,-0.145,-1.489,,,,2.688,,,3.510,9.710,-2.162,0
1928,11,1.800,,1.160,-0.135,-0.163,-1.483,,,,2.643,,,3.620,9.890,-2.223,0
1928,12,2.135,,1.117,-0.224,-0.224,-1.568,,,,2.685,,,3.610,9.700,-2.284,0
1929,1,1.861,,1.069,-0.254,-0.257,-1.583,,,,2.652,,,3.560,9.690,-2.162,0
1929,2,1.678,,1.166,-0.178,-0.181,-1.531,,,,2.697,,,3.640,9.780,-2.132,0
1929,3,1.739,,1.197,-0.123,-0.129,-1.455,,,,2.652,,,3.640,9.760,-1.918,0
1929,4,2.013,,1.251,-0.068,-0.071,-1.397,,,,2.649,,,3.660,9.730,-1.918,0
1929,5,1.648,,1.123,-0.181,-0.193,-1.507,,,,2.630,,,3.590,9.660,-2.284,0
1929,6,1.922,,1.251,-0.080,-0.084,-1.419,,,,2.670,,,3.730,9.810,-2.071,0
1929,7,1.892,,1.209,-0.129,-0.138,-1.486,,,,2.694,,,3.730,9.750,-2.101,0
1929,8,2.013,,1.197,-0.151,-0.154,-1.504,,,,2.701,,,3.690,9.710,-2.101,0
1929,9,1.709,,1.187,-0.145,-0.145,-1.480,,,,2.667,,,3.690,9.740,-2.040,0
1929,10,1.800,,1.191,-0.148,-0.145,-1.483,,,,2.673,,,3.740,9.800,-1.918,0
1929,11,1.983,,1.157,-0.157,-0.160,-1.476,,,,2.633,,,3.690,9.800,-2.071,0
1929,12,1.892,,1.102,-0.212,-0.199,-1.504,,,,2.606,,,3.680,9.780,-2.040,0
1930,1,2.044,,1.081,-0.218,-0.218,-1.516,,,,2.597,,,3.690,9.830,-2.101,0
1930,2,1.770,,1.084,-0.215,-0.224,-1.528,,,,2.612,,,3.610,9.700,-2.223,0
1930,3,1.648,,1.123,-0.193,-0.193,-1.507,,,,2.630,,,3.540,9.660,-2.406,0
1930,4,1.678,,1.114,-0.199,-0.212,-1.534,,,,2.649,,,3.570,9.720,-2.071,0
1930,5,1.739,,1.191,-0.135,-0.138,-1.467,,,,2.658,,,3.610,9.620,-1.949,0
1930,6,1.953,,1.194,-0.138,-0.145,-1.483,,,,2.676,,,3.610,9.710,-2.040,0
1930,7,1.892,,1.270,-0.087,-0.093,-1.455,,,,2.725,,,3.620,9.640,-2.010,0
1930,8,1.953,,1.203,-0.132,-0.138,-1.480,,,,2.682,,,3.660,9.720,-2.132,0
1930,9,1.678,,1.178,-0.120,-0.129,-1.437,,,,2.615,,,3.650,9.720,-2.040,0
1930,10,1.800,,1.206,-0.065,-0.068,-1.342,,,,2.548,,,3.600,9.550,-2.010,0
1930,11,1.678,,1.056,-0.212,-0.212,-1.480,,,,2.536,,,3.640,9.690,-2.010,0
1930,12,1.770,,1.081,-0.184,-0.187,-1.458,,,,2.539,,,3.590,9.660,-1.949,0
1931,1,2.166,,1.117,-0.184,-0.187,-1.489,,,,2.606,,,3.520,9.600,-1.918,0
1931,2,1.739,,1.117,-0.196,-0.205,-1.525,,,,2.643,,,3.590,9.660,-2.193,0
1931,3,2.440,,1.340,-0.026,-0.029,-1.400,,,,2.740,,,3.620,9.640,-2.040,0
1931,4,2.135,,1.279,-0.102,-0.108,-1.492,,,,2.771,,,3.540,9.690,-2.132,0
1931,5,1.831,,1.251,-0.129,-0.120,-1.495,,,,2.746,,,3.610,9.730,-2.132,0
1931,6,1.739,,1.288,-0.050,-0.050,-1.388,,,,2.676,,,3.570,9.650,-1.827,0
1931,7,1.800,,1.248,-0.087,-0.090,-1.425,,,,2.673,,,3.610,9.720,-1.857,0
1931,8,1.739,,1.218,-0.105,-0.108,-1.431,,,,2.649,,,3.610,9.730,-2.101,0
1931,9,1.709,,1.200,-0.096,-0.105,-1.409,,,,2.609,,,3.590,9.650,-2.101,0
1931,10,1.739,,1.184,-0.111,-0.117,-1.419,,,,2.603,,,3.600,9.660,-2.315,0
1931,11,1.831,,1.087,-0.202,-0.205,-1.498,,,,2.585,,,3.590,9.710,-2.132,0
1931,12,1.709,,1.105,-0.196,-0.199,-1.504,,,,2.609,,,3.550,9.630,-2.284,0
1932,1,1.770,,1.175,-0.145,-0.151,-1.473,,,,2.649,,,3.580,9.680,-2.040,0
1932,2,1.800,,1.172,-0.141,-0.145,-1.461,,,,2.633,,,3.600,9.690,-2.040,0
1932,3,1.953,,1.209,-0.114,-0.126,-1.461,,,,2.670,,,3.540,9.660,-2.315,0
1932,4,1.922,,1.194,-0.138,-0.145,-1.486,,,,2.679,,,3.550,9.600,-2.193,0
1932,5,1.861,,1.151,-0.169,-0.175,-1.501,,,,2.652,,,3.580,9.680,-2.223,0
1932,6,1.831,,1.212,-0.099,-0.102,-1.412,,,,2.624,,,3.580,9.680,-2.071,0
1932,7,1.831,,1.239,-0.056,-0.065,-1.367,,,,2.606,,,3.550,9.680,-1.857,0
1932,8,1.678,,1.227,-0.087,-0.090,-1.409,,,,2.637,,,3.550,9.690,-1.736,0
1932,9,1.709,,1.306,-0.056,-0.059,-1.422,,,,2.728,,,3.520,9.630,-1.857,0
1932,10,1.861,,1.212,-0.141,-0.151,-1.510,,,,2.722,,,3.560,9.730,-2.223,0
1932,11,2.135,,1.261,-0.068,-0.074,-1.409,,,,2.670,,,3.590,9.720,-2.223,0
1932,12,1.892,,1.194,-0.148,-0.151,-1.498,,,,2.691,,,3.530,9.720,-2.040,0
1933,1,2.135,,1.224,-0.084,-0.084,-1.394,,,,2.618,,,3.540,9.680,-1.918,0
1933,2,1.831,,1.187,-0.151,-0.157,-1.504,,,,2.691,,,3.550,9.750,-2.040,0
1933,3,1.800,,1.227,-0.096,-0.096,-1.422,,,,2.649,,,3.500,9.660,-2.132,0
1933,4,1.922,,1.264,-0.068,-0.071,-1.409,,,,2.673,,,3.480,9.660,-2.040,0
1933,5,1.953,,1.248,-0.071,-0.077,-1.400,,,,2.649,,,3.510,9.680,-2.101,0
1933,6,2.044,,1.303,-0.047,-0.050,-1.403,,,,2.707,,,3.540,9.740,-2.132,0
